,ds,y
712,1997-10-24,637197800.0
713,1997-10-27,945173531.25
714,1997-10-28,1802692125.0
715,1997-10-29,932048100.0
716,1997-10-30,878950193.75
717,1997-10-31,651130443.75
718,1997-11-03,521559000.0
719,1997-11-04,324835800.0
720,1997-11-05,450332756.25
721,1997-11-06,345728709.375
722,1997-11-07,985769475.0
723,1997-11-10,401637262.5
724,1997-11-11,296845837.5
725,1997-11-12,613164650.0
726,1997-11-13,788632650.0
727,1997-11-14,542358943.75
728,1997-11-17,488113959.375
729,1997-11-18,323402200.0
730,1997-11-19,415342159.375
731,1997-11-20,463431328.125
732,1997-11-21,525981375.0
733,1997-11-24,412034000.0
734,1997-11-25,431006250.0
735,1997-11-26,256128834.375
736,1997-11-28,149624437.5
737,1997-12-01,475842971.875
738,1997-12-02,192552750.0
739,1997-12-03,322922578.125
740,1997-12-04,280607343.75
741,1997-12-05,342205025.0
742,1997-12-08,225843887.5
743,1997-12-09,167000437.5
744,1997-12-10,345943200.0
745,1997-12-11,484769450.0
746,1997-12-12,428806800.0
747,1997-12-15,452131140.625
748,1997-12-16,280824412.5
749,1997-12-17,216501793.75
750,1997-12-18,446614512.5
751,1997-12-19,810948375.0
752,1997-12-22,490002562.5
753,1997-12-23,415644593.75
754,1997-12-24,188605900.0
755,1997-12-26,88323181.25
756,1997-12-29,198900000.0
757,1997-12-30,351204000.0
758,1997-12-31,423143968.75
759,1998-01-02,230335306.25
760,1998-01-05,409879443.75
761,1998-01-06,303560534.375
762,1998-01-07,426797043.75
763,1998-01-08,366339375.0
764,1998-01-09,947015475.0
765,1998-01-12,1137202600.0
766,1998-01-13,497998281.25
767,1998-01-14,361015800.0
768,1998-01-15,273028215.625
769,1998-01-16,421347925.0
770,1998-01-20,498350137.5
771,1998-01-21,455548087.5
772,1998-01-22,436521353.125
773,1998-01-23,609231906.25
774,1998-01-26,418293037.5
775,1998-01-27,682186743.75
776,1998-01-28,417122256.25
777,1998-01-29,786756525.0
778,1998-01-30,358752143.75
779,1998-02-02,575270231.25
780,1998-02-03,277857225.0
781,1998-02-04,339297875.0
782,1998-02-05,510158100.0
783,1998-02-06,579384450.0
784,1998-02-09,235195318.75
785,1998-02-10,374275900.0
786,1998-02-11,416102837.5
787,1998-02-12,515502815.625
788,1998-02-13,214332600.0
789,1998-02-17,313188750.0
790,1998-02-18,311077937.5
791,1998-02-19,348572859.375
792,1998-02-20,384253718.75
793,1998-02-23,335892937.5
794,1998-02-24,349687100.0
795,1998-02-25,363956906.25
796,1998-02-26,335096450.0
797,1998-02-27,361934862.5
798,1998-03-02,446092846.875
799,1998-03-03,353340600.0
800,1998-03-04,461604731.25
801,1998-03-05,754736375.0
802,1998-03-06,730576781.25
803,1998-03-09,354985575.0
804,1998-03-10,584164968.75
805,1998-03-11,368252175.0
806,1998-03-12,343064750.0
807,1998-03-13,308365743.75
808,1998-03-16,348954700.0
809,1998-03-17,497422518.75
810,1998-03-18,211846146.875
811,1998-03-19,279111900.0
812,1998-03-20,343172587.5
813,1998-03-23,488171087.5
814,1998-03-24,368571150.0
815,1998-03-25,506454375.0
816,1998-03-26,366997515.625
817,1998-03-27,286263762.5
818,1998-03-30,340596943.75
819,1998-03-31,651544593.75
820,1998-04-01,324615578.125
821,1998-04-02,439263328.125
822,1998-04-03,426460087.5
823,1998-04-06,508233968.75
824,1998-04-07,619441718.75
825,1998-04-08,535545125.0
826,1998-04-09,498253425.0
827,1998-04-13,482328425.0
828,1998-04-14,366644368.75
829,1998-04-15,433609800.0
830,1998-04-16,795401043.75
831,1998-04-17,638745575.0
832,1998-04-20,414011675.0
833,1998-04-21,515771212.5
834,1998-04-22,269852996.875
835,1998-04-23,566944000.0
836,1998-04-24,1223336756.25
837,1998-04-27,1577530806.25
838,1998-04-28,706893862.5
839,1998-04-29,842045118.75
840,1998-04-30,966964796.875
841,1998-05-01,451365825.0
842,1998-05-04,509584275.0
843,1998-05-05,573984425.0
844,1998-05-06,609079834.375
845,1998-05-07,758889362.5
846,1998-05-08,883554875.0
847,1998-05-11,701745225.0
848,1998-05-12,676684575.0
849,1998-05-13,498419578.125
850,1998-05-14,467560546.875
851,1998-05-15,745696978.125
852,1998-05-18,536070025.0
853,1998-05-19,659010253.125
854,1998-05-20,642581568.75
855,1998-05-21,703798781.25
856,1998-05-22,540919750.0
857,1998-05-26,755257746.875
858,1998-05-27,1118460025.0
859,1998-05-28,540449450.0
860,1998-05-29,520362543.75
861,1998-06-01,667286281.25
862,1998-06-02,734608087.5
863,1998-06-03,695265162.5
864,1998-06-04,721472212.5
865,1998-06-05,947878400.0
866,1998-06-08,465388812.5
867,1998-06-09,305829759.375
868,1998-06-10,689839350.0
869,1998-06-11,881442393.75
870,1998-06-12,1079968312.5
871,1998-06-15,1100496318.75
872,1998-06-16,815794406.25
873,1998-06-17,1344056746.875
874,1998-06-18,426630456.25
875,1998-06-19,390622818.75
876,1998-06-22,601441990.625
877,1998-06-23,560046018.75
878,1998-06-24,940353284.375
879,1998-06-25,662873137.5
880,1998-06-26,549463056.25
881,1998-06-29,679245731.25
882,1998-06-30,485521400.0
883,1998-07-01,399983937.5
884,1998-07-02,402401015.625
885,1998-07-06,364750400.0
886,1998-07-07,569724796.875
887,1998-07-08,801796875.0
888,1998-07-09,804245234.375
889,1998-07-10,914244746.875
890,1998-07-13,763669150.0
891,1998-07-14,822755375.0
892,1998-07-15,585322890.625
893,1998-07-16,747806512.5
894,1998-07-17,419651968.75
895,1998-07-20,277246550.0
896,1998-07-21,642916900.0
897,1998-07-22,1213615450.0
898,1998-07-23,1725475893.75
899,1998-07-24,1316698921.875
900,1998-07-27,1103100000.0
901,1998-07-28,1546881093.75
